Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1µF,C_0603_1608Metric,196.135,-49.11,0.0,bottom
C2,0.1µF,C_0603_1608Metric,195.38,-70.79,180.0,bottom
C3,0.1µF,C_0603_1608Metric,210.925,-49.25,0.0,bottom
J1,vik-module-connector,vik-module-connector-horizontal,212.2085,-66.8,90.0,bottom
J3,Conn_01x04_Pin,PinHeader_1x04_P2.00mm_Vertical,203.47,-77.14,0.0,top
R2,10kΩ,C_0603_1608Metric,199.65,-67.115,90.0,bottom
R3,10kΩ,C_0603_1608Metric,198.12,-67.11,90.0,bottom
R4,100Ω,C_0603_1608Metric,196.14,-47.59,180.0,bottom
R6,100Ω,C_0603_1608Metric,210.92,-47.67,180.0,bottom
U1,ADS1015IDGS,TSSOP-10_3x3mm_P0.5mm,194.9,-67.0625,180.0,bottom
