Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1µF,C_0603_1608Metric,135.23,-91.52,90.0,bottom
C2,0.1µF,C_0603_1608Metric,138.57,-97.01,180.0,bottom
J1,vik-module-connector,vik-module-connector-horizontal,166.54,-91.8615,0.0,bottom
Q1,DMG2305UX,SOT-23,130.3625,-93.58,270.0,bottom
R2,10kΩ,R_0805_2012Metric,148.5575,-96.48,0.0,bottom
R3,10kΩ,R_0805_2012Metric,152.31,-96.48,180.0,bottom
R4,100Ω,R_0603_1608Metric,134.57,-93.78,180.0,bottom
R5,1kΩ,R_0603_1608Metric,134.67,-96.07,180.0,bottom
R6,100kΩ,R_0603_1608Metric,131.53,-96.06,0.0,bottom
R7,10kΩ,R_0805_2012Metric,141.8175,-90.27,0.0,bottom
U1,ADS1115IDGS,TSSOP-10_3x3mm_P0.5mm,138.17,-93.31,180.0,bottom
