Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1µF,C_0603_1608Metric,196.135,-49.11,0.0,bottom
C2,0.1µF,C_0603_1608Metric,193.33,-67.06,90.0,bottom
C3,0.1µF,C_0603_1608Metric,210.925,-49.25,0.0,bottom
C4,0.1µF,C_0603_1608Metric,226.07,-49.2,0.0,bottom
C5,0.1µF,C_0603_1608Metric,241.18,-49.25,0.0,bottom
J1,vik-module-connector,vik-module-connector-horizontal,231.2885,-66.8,90.0,bottom
Q1,DMG2305UX,SOT-23,218.5,-54.33,0.0,bottom
R11,1kΩ,R_0603_1608Metric,220.98,-54.77,270.0,bottom
R12,100kΩ,R_0603_1608Metric,222.51,-54.77,270.0,bottom
R13,10kΩ,R_0805_2012Metric,213.7175,-70.6,180.0,bottom
R2,10kΩ,R_0805_2012Metric,213.72,-65.56,180.0,bottom
R3,10kΩ,R_0805_2012Metric,213.7375,-68.07,180.0,bottom
R4,100Ω,C_0603_1608Metric,196.14,-47.59,180.0,bottom
R6,100Ω,C_0603_1608Metric,210.92,-47.67,180.0,bottom
R7,100Ω,C_0603_1608Metric,226.065,-47.63,180.0,bottom
R9,100Ω,C_0603_1608Metric,241.18,-47.68,180.0,bottom
U1,ADS1115IDGS,TSSOP-10_3x3mm_P0.5mm,195.9,-67.0625,180.0,bottom
